# name      namel central  blue1    blue2    red1     red2     strong?
[OII]3726   3726  3726.032 3653.000 3713.000 3741.000 3801.000   1
[OII]3729   3729  3728.815 3653.000 3713.000 3741.000 3801.000   1
[NeIII]3869 3869  3869.060 3845.000 3860.000 4050.000 4080.000   0
H8HeI       3889  3889.049 3845.000 3860.000 3900.000 3920.000   0
[NeIII]3968 3968  3967.790 3845.000 3860.000 4050.000 4080.000   0
[SII]4068   4068  4068.600 4040.000 4060.000 4120.000 4150.000   0
Hdelta      4101  4101.734 4050.000 4080.000 4120.000 4150.000   0
[FeII]4288  4288  4287.500 4200.000 4270.000 4370.000 4400.000   0
Hgamma      4340  4340.464 4300.000 4330.000 4385.000 4450.000   1
[FeII]4356  4356  4356.141 4200.000 4270.000 4370.000 4400.000   0
[FeII]4360  4360  4359.333 4200.000 4270.000 4370.000 4400.000   0 
[OIII]4363  4363  4363.210 4200.000 4270.000 4370.000 4400.000   0
HeI4471     4471  4471.480 4370.000 4450.000 4480.000 4570.000   0
[FeIII]4658 4658  4658.050 4600.000 4640.000 4720.000 4750.000   0
HeII4686    4686  4685.710 4550.000 4670.000 4690.000 4750.000   0
[ArIV]4740  4740  4741.49  4690.000 4725.000 4760.000 4790.000   0
Hbeta       4861  4861.330 4770.000 4830.000 4890.000 4910.000   1
[OIII]4959  4959  4958.911 4915.000 4950.000 5015.000 5050.000   1
[FeIII]4988 4988  4988.380 4900.000 4950.000 4995.000 5010.000   0
[OIII]5007  5007  5006.843 4915.000 4950.000 5015.000 5050.000   1
[NI]5200    5200  5199.089 5015.000 5050.000 5250.000 5300.000   0
[ClIII]5517 5517  5519.25  5480.000 5500.000 5555.000 5590.000   0
[ClIII]5539 5539  5539.43  5800.000 5850.000 5910.000 5950.000   0
[NII]5755   5755  5754.644 5710.000 5730.000 5770.000 5790.000   0
HeI5876     5876  5875.966 5820.000 5860.000 5920.000 6000.000   0
[OI]6300    6300  6300.304 6240.000 6295.000 6310.000 6350.000   0
[SIII]6312  6312  6312.100 6240.000 6295.000 6330.000 6390.000   0
[OI]6364    6364  6363.776 6314.000 6354.000 6374.000 6414.000   0
[ArIV]6434  6434  6434.73  6390.000 6410.000 6450.000 6490.000   0 
[NII]6548   6548  6548.040 6480.000 6530.000 6600.000 6670.000   1
Halpha      6563  6562.820 6480.000 6530.000 6600.000 6670.000   1
[NII]6584   6584  6583.460 6480.000 6530.000 6600.000 6670.000   1
HeI6678     6678  6678.152 6650.000 6660.000 6745.000 6790.000   0
[SII]6716   6716  6716.440 6650.000 6700.000 6745.000 6790.000   1
[SII]6731   6731  6730.810 6650.000 6700.000 6745.000 6790.000   1
[ArIII]7135 7135  7135.800 7080.000 7120.000 7150.000 7200.000   0
[OII]7320   7320  7320.500 7270.000 7315.000 7345.000 7390.000   0
[OII]7330   7330  7329.500 7270.000 7315.000 7345.000 7390.000   0
[ArIII]7751 7751  7751.100 7690.000 7740.000 7790.000 7810.000   0
[SIII]9068  9068  9068.100 9000.000 9049.000 9080.000 9100.000   0
